task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
534	c2/83a0ec	3693648.pbsha.ib.sockeye	runMatching (533)	CACHED	0	2022-04-20 23:13:57.779	25m 48s	25m 28s	105.2%	1.2 GB	14.9 GB	5.3 GB	3.3 GB
540	36/15b20f	3693662.pbsha.ib.sockeye	runMatching (539)	CACHED	0	2022-04-20 23:22:37.814	58m 53s	58m 37s	102.2%	965.5 MB	8.6 GB	3.6 GB	2.2 GB
537	f5/5603ef	3693651.pbsha.ib.sockeye	runMatching (536)	CACHED	0	2022-04-20 23:15:37.817	10m 30s	10m 10s	110.4%	661.3 MB	8.3 GB	2.8 GB	1.4 GB
532	cb/9bf265	3693656.pbsha.ib.sockeye	runMatching (531)	CACHED	0	2022-04-20 23:17:17.796	6m 25s	6m 7s	118.7%	654.2 MB	8.3 GB	2.3 GB	1.1 GB
529	05/33b59d	3693655.pbsha.ib.sockeye	runMatching (528)	CACHED	0	2022-04-20 23:17:07.882	58m 18s	58m 5s	102.9%	975.1 MB	8.6 GB	3.5 GB	2.2 GB
530	97/701d90	3693660.pbsha.ib.sockeye	runMatching (529)	CACHED	0	2022-04-20 23:20:48.251	2h 29m 29s	2h 29m 16s	107.9%	659.4 MB	8.3 GB	2.4 GB	1.1 GB
539	1b/b5313b	3693657.pbsha.ib.sockeye	runMatching (538)	CACHED	0	2022-04-20 23:18:02.803	55m 53s	55m 37s	115.5%	1.8 GB	9.3 GB	3.8 GB	1.7 GB
541	9d/d3f9bb	3693658.pbsha.ib.sockeye	runMatching (540)	CACHED	0	2022-04-20 23:19:57.843	22m 3s	21m 51s	115.8%	952.4 MB	8.6 GB	4.4 GB	2.5 GB
527	a3/64cbe5	3693644.pbsha.ib.sockeye	runMatching (526)	CACHED	0	2022-04-20 23:12:22.812	55m 53s	55m 35s	103.1%	1.7 GB	9.2 GB	3.8 GB	1.7 GB
535	0a/bb03e0	3693653.pbsha.ib.sockeye	runMatching (534)	CACHED	0	2022-04-20 23:17:02.785	31m 8s	30m 52s	102.7%	1.8 GB	9.7 GB	6 GB	4.1 GB
215	aa/889619	3699968.pbsha.ib.sockeye	runMatching (214)	FAILED	3	2022-04-23 18:36:00.038	36.4s	9s	35.4%	102.5 MB	7.4 GB	12.9 MB	41.6 KB
241	b9/7ba60a	3700038.pbsha.ib.sockeye	runMatching (240)	FAILED	3	2022-04-23 18:36:34.023	22.5s	5.9s	68.7%	47.9 MB	7.4 GB	8.4 MB	81 B
226	04/cccbf5	3699997.pbsha.ib.sockeye	runMatching (225)	FAILED	3	2022-04-23 18:36:02.692	1m 9s	4.7s	137.8%	101.8 MB	7.4 GB	12.9 MB	41.6 KB
251	27/1359de	3700003.pbsha.ib.sockeye	runMatching (250)	FAILED	3	2022-04-23 18:36:03.229	1m 8s	6.4s	122.0%	99 MB	7.4 GB	12.3 MB	41.3 KB
236	c2/6e1d69	3700002.pbsha.ib.sockeye	runMatching (235)	FAILED	3	2022-04-23 18:36:03.135	1m 13s	7.9s	98.0%	149.9 MB	7.4 GB	13.2 MB	337.8 KB
183	bd/03a310	3699942.pbsha.ib.sockeye	runMatching (182)	COMPLETED	0	2022-04-23 18:35:57.444	5m 54s	5m 29s	102.0%	657.2 MB	8.3 GB	2.3 GB	1.1 GB
208	e4/f7e8e2	3699972.pbsha.ib.sockeye	runMatching (207)	COMPLETED	0	2022-04-23 18:36:00.454	6m 11s	5m 23s	102.0%	658.5 MB	8.3 GB	2.3 GB	1.1 GB
217	ca/faa4ea	3699967.pbsha.ib.sockeye	runMatching (216)	COMPLETED	0	2022-04-23 18:35:59.907	6m 37s	6m 10s	120.8%	659.6 MB	8.3 GB	2.3 GB	1.1 GB
192	8b/3c43e1	3699954.pbsha.ib.sockeye	runMatching (191)	COMPLETED	0	2022-04-23 18:35:58.429	6m 43s	6m 19s	115.0%	660.2 MB	8.3 GB	2.3 GB	1.1 GB
199	30/a348f3	3699957.pbsha.ib.sockeye	runMatching (198)	COMPLETED	0	2022-04-23 18:35:59.099	6m 42s	6m 19s	102.2%	664.8 MB	8.3 GB	2.3 GB	1.1 GB
233	20/721a76	3699989.pbsha.ib.sockeye	runMatching (232)	COMPLETED	0	2022-04-23 18:36:01.981	6m 45s	5m 54s	156.1%	660.1 MB	8.3 GB	2.3 GB	1.1 GB
228	aa/223afc	3699987.pbsha.ib.sockeye	runMatching (227)	COMPLETED	0	2022-04-23 18:36:01.808	6m 50s	5m 54s	107.4%	652.5 MB	8.3 GB	2.3 GB	1.1 GB
