"","algorithm","model","seed","ks_p","ks_stat"
"368","F--T F--T","vaccines",1,0.066842862663158,0.00944539676795087
"369","F--T F--T","vaccines",6,0.348705887456085,0.00676100944225691
"370","F--T F--T","vaccines",5,0.52302521418134,0.00589142422445255
"371","F--T F--T","mrna-no-transf",2,0,0.138839053005427
"372","F--T F--T","mrna-no-transf",7,0,0.0434468330831726
"373","F--T F--T","mrna-no-transf",10,2.09950320240182e-07,0.0205388916411995
"374","F--T F--T","mrna-no-transf",9,0,0.0511071508474296
"375","F--T F--T","mrna-no-transf",8,0,0.0745284651667268
"376","F--T F--T","mrna-no-transf",3,0,0.0895067371434023
"377","F--T F--T","mrna-no-transf",4,0.0408446745992805,0.0101067709951912
"378","F--T F--T","mrna-no-transf",1,0,0.037098634351203
"379","F--T F--T","mrna-no-transf",6,1.81655801512193e-10,0.024637036496941
"380","F--T F--T","mrna-no-transf",5,5.34328137291595e-12,0.0264490631466747
"381","F--T F--T","phylo",2,1.86253327316699e-06,0.0190930405791772
"382","F--T F--T","phylo",7,0.401728871326134,0.00647439482151862
"383","F--T F--T","phylo",10,0.029352849980161,0.0105271096450645
"384","F--T F--T","phylo",9,0.0182495518025044,0.0111038731516065
"385","F--T F--T","phylo",8,0,0.0319694946721387
"386","F--T F--T","phylo",3,0.924030736646951,0.00397642997727776
"387","F--T F--T","phylo",4,0.286172412952283,0.00713900654156686
"388","F--T F--T","phylo",1,0.539972874164673,0.00581528688924758
"389","F--T F--T","phylo",6,1.09462439112917e-11,0.0260907353975413
"390","F--T F--T","phylo",5,0.0106930479332676,0.0117187265148402
"391","F--T F--T","toy-mix",2,0.259439665276568,0.00731828561227306
"392","F--T F--T","toy-mix",7,0.0393350327564479,0.0101555645296452
"393","F--T F--T","toy-mix",10,0.158571260658232,0.00815634559072387
"394","F--T F--T","toy-mix",9,0.192608206138632,0.0078365102284715
"395","F--T F--T","toy-mix",8,0.910751588855939,0.00406890491278233
"396","F--T F--T","toy-mix",3,0.348002077767973,0.00676499586623372
"397","F--T F--T","toy-mix",4,5.70932108301392e-06,0.0183067882362342
"398","F--T F--T","toy-mix",1,0.0299637256153574,0.010501395716552
"399","F--T F--T","toy-mix",6,0.0607853077590097,0.00957650985126822
"400","F--T F--T","toy-mix",5,1.61351497152129e-05,0.0175461118114533
"401","F--T F--T","sparse-car",2,0.00332829619340314,0.0129602198752903
"402","F--T F--T","sparse-car",7,0.00543660328369822,0.0124533511107666
"403","F--T F--T","sparse-car",10,0.13243114773748,0.0084415868584624
"404","F--T F--T","sparse-car",9,6.92792291323574e-06,0.0181675514186469
"405","F--T F--T","sparse-car",8,0.111517337218336,0.00870491860801445
"406","F--T F--T","sparse-car",3,0.068983810481879,0.00940147809910559
"407","F--T F--T","sparse-car",4,0.190867242930457,0.00785174424600377
"408","F--T F--T","sparse-car",1,0.202469327767284,0.00775218315404632
"409","F--T F--T","sparse-car",6,0.0160636485798475,0.0112536743865119
"410","F--T F--T","sparse-car",5,0.628735607634384,0.00542764844184858
"411","F--T F--T","titanic",2,0.0176571030509226,0.0111428163222957
"412","F--T F--T","titanic",7,0.040906282419108,0.0101048133483701
"413","F--T F--T","titanic",10,5.54201948066435e-06,0.0183280997095682
