model,optimizer,antithetics,objective,useFixedRef,stepScale,nChains,random,execFolder,iter,isFinal,budget,dim,name,value
,MomentMatch,,FKL,false,,4.0,1,exec_12,7,false,4668.0,2,p1_MEAN,3.1340050752122197
,MomentMatch,,FKL,false,,4.0,1,exec_12,7,false,4668.0,3,p1_SOFTPLUS_VARIANCE,-1.1245646682762835
,MomentMatch,,FKL,false,,4.0,1,exec_12,8,false,9360.0,0,p0_MEAN,-0.38003232975841306
,MomentMatch,,FKL,false,,4.0,1,exec_12,8,false,9360.0,1,p0_SOFTPLUS_VARIANCE,-3.6209285546237537
,MomentMatch,,FKL,false,,4.0,1,exec_12,8,false,9360.0,2,p1_MEAN,3.097379753494021
,MomentMatch,,FKL,false,,4.0,1,exec_12,8,false,9360.0,3,p1_SOFTPLUS_VARIANCE,-1.3011477790885373
,MomentMatch,,FKL,false,,4.0,1,exec_12,9,false,18732.0,0,p0_MEAN,-0.3599884387100462
,MomentMatch,,FKL,false,,4.0,1,exec_12,9,false,18732.0,1,p0_SOFTPLUS_VARIANCE,-3.6674547200296086
,MomentMatch,,FKL,false,,4.0,1,exec_12,9,false,18732.0,2,p1_MEAN,3.154445083254504
,MomentMatch,,FKL,false,,4.0,1,exec_12,9,false,18732.0,3,p1_SOFTPLUS_VARIANCE,-1.35854906718793
,MomentMatch,,FKL,false,,4.0,1,exec_12,10,false,37488.0,0,p0_MEAN,-0.36458527773213867
,MomentMatch,,FKL,false,,4.0,1,exec_12,10,false,37488.0,1,p0_SOFTPLUS_VARIANCE,-3.6651043712937135
,MomentMatch,,FKL,false,,4.0,1,exec_12,10,false,37488.0,2,p1_MEAN,3.1402409661569766
,MomentMatch,,FKL,false,,4.0,1,exec_12,10,false,37488.0,3,p1_SOFTPLUS_VARIANCE,-1.3509521186342404
,MomentMatch,,FKL,false,,4.0,1,exec_12,11,false,75000.0,0,p0_MEAN,-0.3717665363856771
,MomentMatch,,FKL,false,,4.0,1,exec_12,11,false,75000.0,1,p0_SOFTPLUS_VARIANCE,-3.610176003864651
,MomentMatch,,FKL,false,,4.0,1,exec_12,11,false,75000.0,2,p1_MEAN,3.1247700145108834
,MomentMatch,,FKL,false,,4.0,1,exec_12,11,false,75000.0,3,p1_SOFTPLUS_VARIANCE,-1.2808323386519942
,MomentMatch,,FKL,false,,4.0,1,exec_12,12,true,150012.0,0,p0_MEAN,-0.36955979083786566
